上位のページ,クリック数,表示回数,CTR,掲載順位
https://www.dearmanga.com/horror/umineko-manga,0,22,0%,22.05
https://www.dearmanga.com/sci-fi/jaco,0,22,0%,33.27
https://www.dearmanga.com/fantasy/magic-knight-rayearth,0,22,0%,45.41
https://www.dearmanga.com/slice-of-life/miss-kobayashis-dragon-maid,0,22,0%,69.86
https://www.dearmanga.com/action/attack-on-titan-no-regrets,0,21,0%,10.24
https://www.dearmanga.com/sci-fi/metropolis-manga,0,21,0%,14.14
https://www.dearmanga.com/sci-fi/toward-the-terra,0,21,0%,20.1
https://www.dearmanga.com/slice-of-life/hetalia,0,21,0%,22.95
https://www.dearmanga.com/slice-of-life/how-to-keep-a-mummy,0,21,0%,46.19
https://www.dearmanga.com/romance/ore-no-imouto,0,21,0%,57.19
https://www.dearmanga.com/sports/otoko-doahou-koshien,0,20,0%,5.15
https://www.dearmanga.com/romance/imadoki,0,20,0%,6.45
https://www.dearmanga.com/action/rokudenashi-blues,0,20,0%,6.65
https://www.dearmanga.com/sci-fi/erased,0,20,0%,8
https://www.dearmanga.com/sci-fi/psycho-pass,0,20,0%,9.65
https://www.dearmanga.com/fantasy/aristocrat-otherworldly-adventure,0,20,0%,17.85
https://www.dearmanga.com/sci-fi/darling-in-the-franxx,0,20,0%,27.55
https://www.dearmanga.com/slice-of-life/ushijima-loan-shark,0,19,0%,6.95
https://www.dearmanga.com/action/akane-banashi,0,19,0%,7.32
https://www.dearmanga.com/fantasy/the-dungeon-of-black-company,0,19,0%,10.16
https://www.dearmanga.com/fantasy/my-next-life-as-villainess,0,19,0%,11.11
https://www.dearmanga.com/action/sumomomo-momomo,0,19,0%,11.37
https://www.dearmanga.com/action/noblesse,0,19,0%,16.05
https://www.dearmanga.com/romance/sensual-phrase,0,19,0%,18.26
https://www.dearmanga.com/action/young-black-jack,0,19,0%,24.58
https://www.dearmanga.com/fantasy/magical-girl-lyrical-nanoha,0,19,0%,39.47
https://www.dearmanga.com/sports/aoashi,0,18,0%,7.89
https://www.dearmanga.com/action/angel-densetsu,0,18,0%,9
https://www.dearmanga.com/fantasy/sugar-apple-fairy-tale,0,18,0%,11.5
https://www.dearmanga.com/romance/wish-clamp,0,18,0%,15.94
https://www.dearmanga.com/slice-of-life/hitoribocchi,0,18,0%,18.39
https://www.dearmanga.com/romance/stranger-by-the-shore,0,18,0%,18.61
https://www.dearmanga.com/horror/strange-house,0,18,0%,20.33
https://www.dearmanga.com/sports/angelic-layer,0,18,0%,45.5
https://www.dearmanga.com/historical/cesare,0,17,0%,7.53
https://www.dearmanga.com/fantasy/unwanted-undead-adventurer,0,17,0%,9.82
https://www.dearmanga.com/sci-fi/battle-angel-alita-mars-chronicle,0,17,0%,10.12
https://www.dearmanga.com/action/twin-star-exorcists,0,17,0%,13.82
https://www.dearmanga.com/action/my-hero-academia-vigilantes,0,17,0%,19.88
https://www.dearmanga.com/action/vigilante-mha-illegals,0,17,0%,20.59
https://www.dearmanga.com/sci-fi/angel-beats-manga,0,16,0%,44.81
https://www.dearmanga.com/slice-of-life/maicching-machiko,0,15,0%,5.87
https://www.dearmanga.com/romance/tokimeki-tonight,0,15,0%,8.13
https://www.dearmanga.com/slice-of-life/arakawa-under-the-bridge,0,15,0%,11.13
https://www.dearmanga.com/action/world-is-mine,0,15,0%,12.2
https://www.dearmanga.com/romance/boku-girl,0,15,0%,13.6
https://www.dearmanga.com/fantasy/kannagi,0,15,0%,14.4
https://www.dearmanga.com/action/gto-paradise-lost,0,15,0%,20
https://www.dearmanga.com/romance/bunny-girl-senpai,0,15,0%,26.07
https://www.dearmanga.com/horror/higurashi-manga,0,14,0%,6.36
https://www.dearmanga.com/sports/forget-me-not-battery,0,14,0%,7.36
https://www.dearmanga.com/sports/shoot,0,14,0%,8.86
https://www.dearmanga.com/action/cromartie-high,0,14,0%,12.36
https://www.dearmanga.com/sci-fi/eden-its-an-endless-world,0,14,0%,13.57
https://www.dearmanga.com/slice-of-life/with-the-light,0,14,0%,14.14
https://www.dearmanga.com/action/kill-la-kill,0,14,0%,17.93
https://www.dearmanga.com/sci-fi/legend-of-mother-sarah,0,14,0%,19.79
https://www.dearmanga.com/sports/capeta,0,13,0%,6.54
https://www.dearmanga.com/slice-of-life/adolf,0,13,0%,8.54
https://www.dearmanga.com/romance/watashi-no-shiawase-na-kekkon,0,13,0%,9.38
https://www.dearmanga.com/slice-of-life/outbreak-company,0,13,0%,14.38
https://www.dearmanga.com/slice-of-life/midnight-diner,0,13,0%,15.08
https://www.dearmanga.com/fantasy/shugo-chara-encore,0,13,0%,21.15
https://www.dearmanga.com/romance/citrus-manga,0,13,0%,33
https://www.dearmanga.com/romance/jitsu-wa-watashi-wa,0,13,0%,43.38
https://www.dearmanga.com/sci-fi/code-geass,0,13,0%,51.31
https://www.dearmanga.com/action/history-strongest-disciple-kenichi,0,13,0%,55.23
https://www.dearmanga.com/slice-of-life/tonde-saitama,0,12,0%,7.17
